Timestamp,ECG
1711634990.387651,491
1711634990.4371324,485
1711634990.4881425,487
1711634990.5381691,522
1711634990.5881803,511
1711634990.6381915,539
1711634990.6893525,576
1711634990.7396681,622
1711634990.7899244,567
1711634990.840281,459
1711634990.8903484,473
1711634990.9405289,474
1711634990.9906454,469
1711634991.0413241,469
1711634991.090717,484
1711634991.1418061,475
1711634991.1919215,486
1711634991.2417996,526
1711634991.292211,518
1711634991.3423998,541
1711634991.3930566,582
1711634991.4430513,628
1711634991.4938347,583
1711634991.5436678,468
1711634991.593798,487
1711634991.6443236,485
1711634991.6946645,496
1711634991.7448616,483
1711634991.79488,499
1711634991.8459501,498
1711634991.8954768,504
1711634991.9459817,491
1711634991.9957366,542
1711634992.0465822,524
1711634992.09658,552
1711634992.1465828,568
1711634992.1967523,635
1711634992.2474883,575
1711634992.2976792,477
1711634992.3479378,470
1711634992.3982463,482
1711634992.4488735,466
1711634992.498539,470
1711634992.5494165,463
1711634992.5994618,478
1711634992.6497993,489
1711634992.699994,482
1711634992.7505786,487
1711634992.800554,503
1711634992.85096,522
1711634992.9010093,543
1711634992.9514565,583
1711634993.0016916,619
1711634993.0518007,544
1711634993.1021967,459
1711634993.1521757,472
1711634993.2023342,472
1711634993.2522764,471
1711634993.3032367,460
1711634993.3536797,471
1711634993.4039152,470
1711634993.4539304,499
1711634993.504357,477
1711634993.5544791,495
1711634993.604788,524
1711634993.6550236,526
1711634993.7050357,541
1711634993.755984,593
1711634993.8059835,615
1711634993.856164,550
1711634993.9066286,462
1711634993.9566643,482
1711634994.0068173,469
1711634994.0564988,473
1711634994.1075952,464
1711634994.157592,479
1711634994.2080498,473
1711634994.2582958,489
1711634994.308785,490
1711634994.3583605,494
1711634994.4092073,566
1711634994.4593127,500
1711634994.5095778,535
1711634994.5599415,574
1711634994.610154,614
1711634994.6609948,595
1711634994.7106612,477
1711634994.7610123,473
1711634994.8112395,477
1711634994.861255,473
1711634994.9112716,467
1711634994.9623232,470
1711634995.0127842,479
1711634995.0624883,499
1711634995.1124852,488
1711634995.162509,490
1711634995.2133198,513
1711634995.2634656,519
1711634995.3141453,546
1711634995.36422,583
1711634995.414351,628
1711634995.4641275,555
1711634995.5151372,470
1711634995.5644581,472
1711634995.6160493,485
