Timestamp,Original Voltage
1711634990.387651,2.3974609375
1711634990.4371324,2.3681640625
1711634990.4881425,2.3779296875
1711634990.5381691,2.548828125
1711634990.5881803,2.4951171875
1711634990.6381915,2.6318359375
1711634990.6893525,2.8125
1711634990.7396681,3.037109375
1711634990.7899244,2.7685546875
1711634990.840281,2.2412109375
1711634990.8903484,2.3095703125
1711634990.9405289,2.314453125
1711634990.9906454,2.2900390625
1711634991.0413241,2.2900390625
1711634991.090717,2.36328125
1711634991.1418061,2.3193359375
1711634991.1919215,2.373046875
1711634991.2417996,2.568359375
1711634991.292211,2.529296875
1711634991.3423998,2.6416015625
1711634991.3930566,2.841796875
1711634991.4430513,3.06640625
1711634991.4938347,2.8466796875
1711634991.5436678,2.28515625
1711634991.593798,2.3779296875
1711634991.6443236,2.3681640625
1711634991.6946645,2.421875
1711634991.7448616,2.3583984375
1711634991.79488,2.4365234375
1711634991.8459501,2.431640625
1711634991.8954768,2.4609375
1711634991.9459817,2.3974609375
1711634991.9957366,2.646484375
1711634992.0465822,2.55859375
1711634992.09658,2.6953125
1711634992.1465828,2.7734375
1711634992.1967523,3.1005859375
1711634992.2474883,2.8076171875
1711634992.2976792,2.3291015625
1711634992.3479378,2.294921875
1711634992.3982463,2.353515625
1711634992.4488735,2.275390625
1711634992.498539,2.294921875
1711634992.5494165,2.2607421875
1711634992.5994618,2.333984375
1711634992.6497993,2.3876953125
1711634992.699994,2.353515625
1711634992.7505786,2.3779296875
1711634992.800554,2.4560546875
1711634992.85096,2.548828125
1711634992.9010093,2.6513671875
1711634992.9514565,2.8466796875
1711634993.0016916,3.0224609375
1711634993.0518007,2.65625
1711634993.1021967,2.2412109375
1711634993.1521757,2.3046875
1711634993.2023342,2.3046875
1711634993.2522764,2.2998046875
1711634993.3032367,2.24609375
1711634993.3536797,2.2998046875
1711634993.4039152,2.294921875
1711634993.4539304,2.4365234375
1711634993.504357,2.3291015625
1711634993.5544791,2.4169921875
1711634993.604788,2.55859375
1711634993.6550236,2.568359375
1711634993.7050357,2.6416015625
1711634993.755984,2.8955078125
1711634993.8059835,3.0029296875
1711634993.856164,2.685546875
1711634993.9066286,2.255859375
1711634993.9566643,2.353515625
1711634994.0068173,2.2900390625
1711634994.0564988,2.3095703125
1711634994.1075952,2.265625
1711634994.157592,2.3388671875
1711634994.2080498,2.3095703125
1711634994.2582958,2.3876953125
1711634994.308785,2.392578125
1711634994.3583605,2.412109375
1711634994.4092073,2.763671875
1711634994.4593127,2.44140625
1711634994.5095778,2.6123046875
1711634994.5599415,2.802734375
1711634994.610154,2.998046875
1711634994.6609948,2.9052734375
1711634994.7106612,2.3291015625
1711634994.7610123,2.3095703125
1711634994.8112395,2.3291015625
1711634994.861255,2.3095703125
1711634994.9112716,2.2802734375
1711634994.9623232,2.294921875
1711634995.0127842,2.3388671875
1711634995.0624883,2.4365234375
1711634995.1124852,2.3828125
1711634995.162509,2.392578125
1711634995.2133198,2.5048828125
1711634995.2634656,2.5341796875
1711634995.3141453,2.666015625
1711634995.36422,2.8466796875
1711634995.414351,3.06640625
1711634995.4641275,2.7099609375
1711634995.5151372,2.294921875
1711634995.5644581,2.3046875
1711634995.6160493,2.3681640625
